root_id,n_tweets,n_inbound,n_outbound
30769,2,1,1
30791,4,2,2
30837,5,4,1
30841,2,1,1
31010,3,2,1
31020,4,2,2
31030,2,1,1
31033,3,2,1
31149,9,6,3
31266,6,2,4
31340,7,3,4
31358,3,2,1
31362,3,2,1
31371,6,2,4
31397,2,1,1
31427,4,2,2
31450,4,2,2
31470,2,1,1
31474,2,1,1
31485,5,3,2
31517,5,2,3
31572,3,2,1
31607,5,2,3
31627,4,2,2
31651,6,3,3
31655,2,1,1
31769,3,1,2
31780,2,1,1
31783,2,1,1
31869,3,2,1
31899,2,1,1
31902,3,2,1
31911,2,1,1
31913,2,1,1
31940,2,1,1
32102,2,1,1
32123,2,1,1
32143,2,1,1
32154,2,1,1
32173,6,3,3
32187,11,6,5
32267,2,1,1
32272,3,2,1
32297,2,1,1
32310,11,6,5
32393,2,1,1
32401,4,2,2
32463,2,1,1
32479,16,7,9
32500,103,68,35
32549,3,2,1
32745,4,2,2
32875,3,1,2
33034,4,2,2
33038,5,3,2
33044,2,1,1
33082,2,1,1
33089,4,2,2
33281,3,1,2
33308,2,1,1
33310,2,1,1
33349,3,2,1
33384,8,5,3
33462,4,3,1
33465,2,1,1
33557,2,1,1
33575,6,2,4
33605,2,1,1
33611,4,2,2
33618,4,2,2
34396,2,1,1
34413,2,1,1
34430,2,1,1
34432,2,1,1
34500,3,2,1
34572,14,6,8
34586,4,2,2
34595,6,4,2
34620,2,1,1
34700,2,1,1
34711,2,1,1
34721,2,1,1
34765,6,2,4
34795,5,3,2
34813,4,3,1
34833,2,1,1
34867,2,1,1
34871,2,1,1
34876,3,2,1
34901,2,1,1
34918,4,2,2
34927,2,1,1
34938,6,3,3
34953,2,1,1
35039,4,2,2
35055,2,1,1
35095,3,2,1
35100,6,3,3
35106,4,2,2
35118,2,1,1
35141,3,1,2
35147,7,3,4
35156,6,3,3
35176,3,2,1
35215,2,1,1
35218,6,3,3
35241,2,1,1
35245,3,2,1
35250,5,3,2
35274,6,3,3
35281,2,1,1
35289,9,5,4
35311,5,3,2
35336,8,4,4
35347,2,1,1
35368,3,2,1
35378,3,2,1
35425,2,1,1
35497,8,4,4
35547,2,1,1
35551,4,3,1
35601,7,3,4
35743,5,1,4
35758,2,1,1
35770,3,1,2
35842,4,3,1
35926,26,13,13
35933,2,1,1
35957,3,2,1
35961,2,1,1
36023,3,2,1
36032,8,4,4
36046,2,1,1
36065,2,1,1
36099,8,5,3
36117,6,3,3
36205,5,3,2
36214,2,1,1
36246,2,1,1
36252,2,1,1
36289,2,1,1
36298,6,3,3
36320,2,1,1
36322,2,1,1
36350,4,2,2
36361,4,2,2
36398,4,2,2
36440,5,1,4
36449,3,1,2
36483,5,3,2
36622,4,2,2
36652,3,2,1
36655,3,2,1
36664,2,1,1
36714,2,1,1
36747,4,2,2
36759,2,1,1
36866,2,1,1
36890,5,2,3
36896,5,3,2
36905,2,1,1
36985,3,2,1
37406,3,2,1
37411,2,1,1
37415,4,3,1
37435,7,4,3
37537,3,2,1
37628,4,2,2
37639,6,3,3
37647,3,2,1
37699,2,1,1
37702,6,3,3
37708,5,3,2
37713,3,2,1
37754,2,1,1
37856,2,1,1
37873,6,4,2
37882,5,3,2
37910,2,1,1
37927,14,5,9
37958,4,2,2
38010,6,2,4
38040,9,6,3
38096,5,3,2
38104,18,10,8
38145,2,1,1
38157,4,3,1
38168,2,1,1
38225,3,2,1
38261,9,5,4
38267,2,1,1
38270,4,2,2
38281,2,1,1
38298,8,4,4
38322,2,1,1
38330,2,1,1
38363,2,1,1
38371,2,1,1
38381,2,1,1
38405,2,1,1
38420,2,1,1
38424,2,1,1
38459,2,1,1
38479,21,9,12
38489,4,2,2
38496,2,1,1
38530,2,1,1
38534,4,2,2
38574,11,6,5
38579,4,2,2
38653,2,1,1
38665,3,2,1
38670,4,2,2
38714,31,17,14
38725,4,2,2
38811,5,2,3
38842,2,1,1
38906,4,2,2
38933,10,5,5
38936,2,1,1
38963,2,1,1
38967,2,1,1
38993,8,4,4
39059,2,1,1
39135,6,3,3
39140,5,2,3
39142,2,1,1
39217,6,2,4
39508,4,2,2
39531,6,4,2
39619,2,1,1
39621,2,1,1
39625,2,1,1
39674,4,2,2
39677,2,1,1
39686,4,2,2
39714,9,5,4
39724,14,6,8
39806,4,2,2
39824,3,1,2
39927,2,1,1
39951,2,1,1
39991,2,1,1
39995,15,8,7
40008,2,1,1
40043,5,3,2
40050,4,3,1
40102,3,2,1
40119,6,3,3
40201,2,1,1
40205,3,1,2
40234,2,1,1
40254,7,3,4
40269,3,1,2
40275,2,1,1
40282,2,1,1
40286,3,1,2
40309,2,1,1
40317,4,2,2
40338,7,4,3
40364,6,3,3
